prix,start time
885.95,2016-10-09 15:39:18
887.0,2016-09-23 07:02:31
892.0,2016-09-30 12:17:14
893.81,2016-10-11 17:40:24
902.1,2016-10-11 20:59:04
902.6,2016-10-11 20:59:08
912.0,2016-09-25 14:28:20
913.64,2016-05-31 15:44:00
913.64,2016-05-31 15:43:56
913.64,2016-06-13 15:55:25
929.0,2016-10-18 08:35:28
929.0,2015-11-16 13:14:20
